"candidate_id","title","authors","year","venue_or_source","source_type","source_family","workflow_stage","screening_decision","why_candidate","url"
"D001","Exploring ChatGPT's potential for augmenting post-editing in machine translation across multiple domains: challenges and opportunities","Jeehaan Algaraady; Mohammad Mahyoob","2025","Frontiers in Artificial Intelligence","journal article","Frontiers","ChatGPT-4o post-editing; multi-domain MTPE; human comparison","include_for_full_review","Open-access original research comparing Google Translate output, human post-editing, and ChatGPT-4o post-editing across business, medical, literary, sports, and idiom texts.","https://doi.org/10.3389/frai.2025.1526293"
"D002","Reasoning-Guided LLM Translation Optimization: A Framework Using Multidimensional Postediting Feedback","Yan Huang; Xiaogang Zang; Chenyang Ji; Zhuo Chen","2025","International Journal of Intelligent Systems","journal article","Wiley","reasoning-guided post-editing; synthetic MQM-like feedback","include_for_full_review","Introduces MFPE, a framework using multidimensional post-editing feedback to guide LLM translation optimization across four language pairs.","https://doi.org/10.1155/int/9971702"
"D003","What are the differences? A comparative study of generative artificial intelligence translation and human translation of scientific texts","Linling Fu; Lei Liu","2024","Humanities and Social Sciences Communications","journal article","Nature Portfolio","GenAI translation vs human translation; scientific texts","include_for_full_review","Open-access comparative study of ChatGPT 3.5 and human translations of scientific texts, relevant to human-AI complementarity and translator training.","https://www.nature.com/articles/s41599-024-03726-7"
"D004","Machine Translation in the Era of Large Language Models: A Survey of Historical and Emerging Problems","Duygu Ataman; Alexandra Birch; Nizar Habash; Marcello Federico; Philipp Koehn; Kyunghyun Cho","2025","Information","survey article","MDPI","historical survey; MT/LLM open problems","include_for_background_and_citation_chaining","Recent survey by major MT researchers; useful for positioning and gap comparison against this workflow-oriented survey.","https://doi.org/10.3390/info16090723"
"D005","Document-Level Machine Translation with Large Language Models","Longyue Wang; Chenyang Lyu; Tianbo Ji; Zhirui Zhang; Dian Yu; Shuming Shi; Zhaopeng Tu","2023","EMNLP","conference paper","ACL Anthology/arXiv","document-level translation; context-aware prompting","include_for_full_review","Key EMNLP paper evaluating GPT-3.5/GPT-4 for document-level MT, discourse modeling, prompt design, and human evaluation.","https://doi.org/10.18653/v1/2023.emnlp-main.1036"
"D006","Adaptive Machine Translation with Large Language Models","Yasmin Moslem; Rejwanul Haque; John D. Kelleher; Andy Way","2023","EAMT","conference paper","ACL Anthology/arXiv","adaptive MT; in-context learning; translation memory","include_for_full_review","Uses in-context examples and fuzzy matches to adapt LLM translation to domain and terminology at inference time.","https://aclanthology.org/2023.eamt-1.22/"
"D007","Is ChatGPT A Good Translator? Yes With GPT-4 As The Engine","Wenxiang Jiao; Wenxuan Wang; Jen-tse Huang; Xing Wang; Shuming Shi; Zhaopeng Tu","2023","arXiv","preprint","arXiv","direct translation; prompting; robustness","include_for_full_review_high_value_preprint","Highly cited early evaluation of ChatGPT/GPT-4 for MT, including prompt design, low-resource/distant languages, robustness, and hallucination analysis.","https://arxiv.org/abs/2301.08745"
"D008","Instruction-tuned Large Language Models for Machine Translation in the Medical Domain","Miguel Rios","2025","Machine Translation Summit / arXiv","conference paper/preprint","ACL Anthology/arXiv","medical domain MT; terminology; instruction tuning","include_for_full_review","Addresses specialized medical-domain translation and terminology-informed instruction tuning of LLMs.","https://arxiv.org/abs/2408.16440"
"D009","What do Large Language Models Need for Machine Translation Evaluation?","Shenbin Qian; Archchana Sindhujan; Minnie Kabra; Diptesh Kanojia; Constantin Orasan; Tharindu Ranasinghe; Frederic Blain","2024","EMNLP","conference paper","ACL Anthology","LLM-as-evaluator; MT evaluation information needs","include_for_full_review","Studies what information LLMs need to evaluate MT quality, directly extending the LLM-as-evaluator cluster.","https://aclanthology.org/2024.emnlp-main.214/"
"D010","Effective Neural Machine Translation with Human Post-Editing of Chinese Intangible Cultural Heritage Corpus into English","Liping Jiang; Bingbing Wei; Ghayth Kamel Shaker Al-Shaibani","2025","SAGE Open","journal article","SAGE","NMT post-editing; cultural heritage; human PE comparator","include_for_full_review_as_nmt_comparator","NMT + human post-editing evidence in a culturally specific domain; useful comparator for LLM-assisted post-editing and cultural adequacy.","https://doi.org/10.1177/21582440251386954"
"D011","Creating Terminological Correspondence Recognition Tests with GPT-4: A Case Study in English-to-Turkish Translations in the Engineering Domain","Marina Sanchez-Torron; Egemen Ipek; Vanessa Enriquez Raido","2025","International Journal of Artificial Intelligence in Education","journal article","Springer","GPT-4; terminology; translator competence testing","include_for_full_review","GPT-4-generated terminology recognition tests for engineering translation competence; supports terminology and human-in-the-loop expertise assessment.","https://doi.org/10.1007/s40593-025-00465-x"
"D012","Preliminary evaluation of ChatGPT as a machine translation engine and as an automatic post-editor of raw machine translation output from other machine translation engines","Michael Farrell","2023","HiT-IT","conference paper","HiT-IT proceedings","ChatGPT as MT engine and automatic post-editor","include_for_full_review","Early human-informed translation technology conference paper directly evaluating ChatGPT as MT engine and APE tool.","https://doi.org/10.26615/issn.2683-0078.2023_009"
"D013","Human Evaluation for Translation Quality of ChatGPT: A Preliminary Study","Yanqing Zhao; Min Zhang; Xiaoyu Chen; Yadong Deng; Aiju Geng; Limin Liu; Xiaoqin Liu; Wei Li; Yanfei Jiang; Hao Yang; Yu Han; Shimin Tao; Ning Xie; Xiaochun Li; Miaomiao Ma; Zhaodi Zhang","2023","HiT-IT","conference paper","HiT-IT proceedings","human evaluation; ChatGPT translation quality","include_for_full_review","Direct assessment human evaluation of ChatGPT translation quality across domains; complements automatic metric studies.","https://doi.org/10.26615/issn.2683-0078.2023_023"
"D014","Enabling Human-centered Machine Translation Using Concept-based Large Language Model Prompting and Translation Memory","Ming Qian; Chuiqing Kong","2024","HCII 2024 / Artificial Intelligence in HCI proceedings","conference proceedings chapter","Springer LNCS/LNAI proceedings","human-centered MT; concept prompting; translation memory","include_for_full_review","Peer-reviewed HCII 2024 proceedings chapter on GPT-4 concept-based prompting, interactive post-editing, and translation memory; publication status verified.","https://link.springer.com/book/10.1007/978-3-031-60615-1"
"D015","Personalized translator training in the era of digital intelligence: Opportunities, challenges, and prospects","metadata_to_verify","2024","Heliyon","journal article","ScienceDirect","translator training; bibliometric/content analysis","background_only","Useful for translator-training context, but broader than MT/LLM workflow evidence and likely better used in discussion/background.","https://www.sciencedirect.com/science/article/pii/S2405844024153856"
